,ID,Diameter,Group
1,A-1,1.6,Control
2,A-2,1.8,Control
3,A-3,1.6,Control
4,A-4,1.3,Control
5,A-5,1.6,Control
6,A-1,1.5,Control
7,A-2,1.8,Control
8,A-3,1.6,Control
9,A-4,1.4,Control
10,A-5,1.6,Control
11,A-1,1.5,Control
12,A-2,1.8,Control
13,A-3,1.6,Control
14,A-4,1.4,Control
15,A-5,1.6,Control
16,E-1,1.7,Ethanolamine
17,E-2,1.8,Ethanolamine
18,E-3,1.9,Ethanolamine
19,E-4,1.5,Ethanolamine
20,E-5,2,Ethanolamine
21,E-1,1.7,Ethanolamine
22,E-2,1.8,Ethanolamine
23,E-3,1.9,Ethanolamine
24,E-4,1.6,Ethanolamine
25,E-5,1.9,Ethanolamine
26,E-1,1.7,Ethanolamine
27,E-2,1.8,Ethanolamine
28,E-3,1.9,Ethanolamine
29,E-4,1.5,Ethanolamine
30,E-5,2,Ethanolamine
31,G-1,1.5,a_ketoglutaric_acid
32,G-2,1.5,a_ketoglutaric_acid
33,G-3,1.6,a_ketoglutaric_acid
34,G-4,1.6,a_ketoglutaric_acid
35,G-5,1.6,a_ketoglutaric_acid
36,G-1,1.5,a_ketoglutaric_acid
37,G-2,1.5,a_ketoglutaric_acid
38,G-3,1.5,a_ketoglutaric_acid
39,G-4,1.7,a_ketoglutaric_acid
40,G-5,1.6,a_ketoglutaric_acid
41,G-1,1.4,a_ketoglutaric_acid
42,G-2,1.5,a_ketoglutaric_acid
43,G-3,1.5,a_ketoglutaric_acid
44,G-4,1.6,a_ketoglutaric_acid
45,G-5,1.5,a_ketoglutaric_acid
