,label
sucrose,
D.glucose,
Unknown.076,
phosphate.ion,
Unknown.075,
Unknown.077,
Unknown.035,
L.asparagine,
fructose,
L.aspartic.acid,
aconitic.acid,
sedoheptulose,
D.malic.acid,
D.mannose,
quinic.acid,
citric.acid,
Unknown.142,
L.glutamic.acid,
beta.cyano.L.alanine,_beta.cyano.L.alanine
L.serine,
Unknown.162,
L.ornithine,
cellobiose,
Unknown.115,
myo.inositol,
L.valine,
galactinol,
L.alanine,
Unknown.088,
fumaric.acid,
Unknown.049,
X4.guanidinobutyric.acid,
D.mannitol,
DL.4.hydroxymandelic.acid,_DL.4.hydroxymandelic.acid
L.tyrosine,
Unknown.138,
Unknown.145,
Unknown.083,
Unknown.070,
trehalose,
succinic.acid,
L.pyroglutamic.acid,
Unknown.059,
Unknown.078,
glycine,_glycine
caffeic.acid,
L.threonine,
Unknown.065,
shikimic.acid,
Unknown.033,
isomaltose,
L.leucine,
Unknown.156,
Unknown.037,
Unknown.032,
maltose,
Unknown.069,
L.phenylalanine,
Unknown.084,
citraconic.acid,
lactate,
ethanolamine.,_ethanolamine
Unknown.054.1,
D.glucuronic.acid,
Unknown.040,
Unknown.135,
Unknown.042,
Unknown.048,
Unknown.116,
Unknown.022,
melibiose,
Unknown.058,
L.glutamine,
Unknown.087,
Unknown.110,
D.glucose.6.phosphate,
Unknown.071,
Unknown.043,
D.xylose,
Unknown.068,
Unknown.005,
Unknown.004,
Unknown.082,
Unknown.055,
Unknown.064,
methyl.phosphate.,
Unknown.017,
Unknown.090,
Unknown.086,
L.isoleucine,
methyl.beta.D.galactopyranoside,
Unknown.056,
X3.4.dihydroxybenzoic.acid,
Unknown.130,
Unknown.131,
X2.hydroxypyridine,
Unknown.016,
Unknown.038,
galactonic.acid,
Unknown.085,
Unknown.122,
Unknown.112,
D.galactaric.acid,
maleic.acid,
alpha.ketoglutaric.acid,_alpha.ketoglutaric.acid
Unknown.109,
D.threitol,
Unknown.012,
Unknown.157,
Unknown.117,
Unknown.081,
Unknown.013,
Unknown.128,
Unknown.127,
Unknown.065.1,
mucic.acid,
X4.hydroxybenzoic.acid,
Unknown.007,
Unknown.144,
hydroquinone,
Unknown.098,
ribose,
Unknown.072,
X4.hydroxy.3.methoxybenzoic.acid..vanillic.acid.,
Unknown.133,
Unknown.094,
L.proline,
X3.hydroxypyridine,
Unknown.061,
Unknown.014,
Unknown.066,
Unknown.047,
X2.keto.l.gluconic.acid.,
adenosine,
Unknown.097,
carbonate.ion,
Unknown.079,
Unknown.095,
Unknown.111,
Unknown.123,
Unknown.114,
Unknown.025,
Unknown.028,
oxalic.acid,
Unknown.100,
allantoin,
succinic.anhydride.,
Unknown.030,
Unknown.015,
Unknown.060,
Unknown.183,
xylitol,
Unknown.044,
Unknown.026,
Unknown.041,
benzoic.acid,
glyceric.acid,
Unknown.045,
glycolic.acid,
Unknown.184,
methylsuccinic.acid.,
Unknown.185,
porphine,
Unknown.067,
Unknown.046,
Unknown.080,
Unknown.052,
uracil,
Unknown.010,
Unknown.107,
Unknown.120,
Unknown.039,
Unknown.057,
Unknown.001,
Unknown.125,
D.gluconic.acid,
Unknown.103,
Unknown.009,
Unknown.121,
Unknown.105,
X3.5.dimethoxy.4.hydroxycinnamic.acid..sinapic.acid.,
Unknown.108,
Unknown.051,
nicotinic.acid,
glycerol.3.phosphate,
Unknown.161,
thymine,
Unknown.008,
L.cysteine,
pyruvic.acid,
Unknown.172,
L.tryptophan,_tryptophan
Unknown.146,
Unknown.011,
Unknown.050,
Unknown.186,
Unknown.143,
Unknown.148,
Unknown.054,
cycloleucine,
Unknown.101,
D.maltitol,
Unknown.018,
Unknown.104,
Unknown.034,
glucosylglycerol.,
Unknown.024,
Unknown.106,
Unknown.036,
Unknown.031,
X4.hydroxyphenylacetic.acid,
methylmaleic.acid.,
ferulic.acid,
propylene.glycol,
Unknown.154,
Unknown.102,
Unknown.002,
Unknown.155,
raffinose,
Unknown.175,
Unknown.151,
Unknown.129,
Unknown.152,
Unknown.137,
Unknown.092,
dehydroalanine,
Unknown.179,
Unknown.118,
X1.4.D.xylobiose,
X1.3.diaminopropane,
Unknown.074,
Unknown.178,
Unknown.139,
X2.hydroxyglutaric.acid,
Unknown.119,
Unknown.006,
dehydroascorbic.acid,
Unknown.134,
Unknown.164,
Unknown.153,
Unknown.174,
Unknown.073,
Unknown.113,
Unknown.160,
Unknown.173,
Unknown.023,
Unknown.158,
N.N.dimethylglycine,
chlorogenic.acid,
Unknown.091,
Unknown.089,
pipecolic.acid,
Unknown.150,
Unknown.181,
Unknown.177,
Unknown.136,
Unknown.124,
Unknown.169,
Unknown.029,
Unknown.093,
palmitic.acid,
Unknown.053,
Unknown.166,
galacturonic.acid,
Unknown.027,
Unknown.163,
melezitose,
Unknown.180,
Unknown.176,
DL.3.aminoisobutyric.acid,
Unknown.140,
inosine,
glycerol,
D.fructose.6.phosphate,
Unknown.147,
X4.hydroxybenzaldehyde,
Unknown.149,
Unknown.021,
Unknown.170,
Unknown.171,
Unknown.168,
adenine,
Unknown.096,
ribitol,
galactitol,
N.methylalanine,
L.homoserine,
Unknown.020,
Unknown.126,
Unknown.141,
Unknown.019,
X4.hydroxypyridine,
X5.O.coumaroyl.D.quinic.acid.,
Unknown.003,
Unknown.132,
Unknown.159,
Unknown.165,
Unknown.167,
Unknown.182,
