"","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval"
"ethanolamine.",12.5289282403686,0.0099009900990099,0.688097511746033,0.0099009900990099
"Unknown.031",8.86215923910566,0.0099009900990099,0.383995970441147,0.0099009900990099
"alpha.ketoglutaric.acid",8.6998718576656,0.0099009900990099,0.287522060911883,0.0099009900990099
"beta.cyano.L.alanine",7.31516346722777,0.0099009900990099,0.148397444844107,0.0099009900990099
"Unknown.139",7.20855503384112,0.0099009900990099,0.270768273615062,0.0099009900990099
"Unknown.043",7.01368607277693,0.0099009900990099,0.238896177466677,0.0099009900990099
"L.tryptophan",6.69730829790887,0.0099009900990099,0.097792539973665,0.0099009900990099
"sucrose",5.95801694158362,0.0099009900990099,0.0997615658351976,0.0099009900990099
"Unknown.115",5.48517090266226,0.0099009900990099,0.0471745351026303,0.0099009900990099
"Unknown.142",5.13847950120743,0.0099009900990099,0.10966119066452,0.0099009900990099
"uracil",4.96136511429133,0.0099009900990099,0.13890979901708,0.0099009900990099
"Unknown.146",4.89985198871451,0.0198019801980198,0.0589980491155772,0.0495049504950495
"Unknown.101",4.65913220938107,0.0099009900990099,0.0693104815927839,0.0198019801980198
"Unknown.109",4.561777579079,0.0099009900990099,0.0850115008561112,0.0099009900990099
"L.cysteine",4.45628995028726,0.0198019801980198,0.0701823753053539,0.0594059405940594
"Unknown.166",4.26582348077997,0.0099009900990099,0.0393494106603961,0.0198019801980198
"Unknown.022",4.1980519761372,0.0099009900990099,0.0458922521224795,0.0198019801980198
"Unknown.186",4.1345657585381,0.0099009900990099,0.0355619119147629,0.178217821782178
"porphine",3.7872391305738,0.0099009900990099,0.021753063395452,0.376237623762376
"D.mannitol",3.56642323822164,0.0099009900990099,0.0208820072315402,0.277227722772277
"Unknown.130",3.53213170421593,0.0198019801980198,0.034715803826963,0.0198019801980198
"Unknown.111",3.4894115193569,0.0099009900990099,0.0545473906959007,0.0099009900990099
"cellobiose",3.40800804131497,0.0099009900990099,0.0203857586402438,0.178217821782178
"Unknown.064",3.35319870691839,0.0099009900990099,0.037282719771783,0.0594059405940594
